p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
14,9,664.9173479809601,774.7121642419435,True,2.684974266483548e-31,0.05422815008071083,19,156,True,True,2.3240690757693936,1.8418250208768896,12.296577555271217,9.883203123211654,1.838907568393833,8.800125014224649e-05,19,True,5.444233596262989e-62,390,False
15,10,667.5721162971959,783.4666445726782,True,4.271479508463082e-31,0.06319285122932193,20,156,True,True,2.3246897603174173,1.8401107134242518,12.258730586866845,9.860712454502371,1.8373886395203218,2.32110601382516e-05,20,True,1.4949431385944047e-60,388,False
14,10,666.1824060055707,779.0270782738036,True,7.126597028135655e-31,0.0747460952525168,19,156,True,True,2.3250307109770376,1.843691299494485,12.314671851952777,9.902072401798264,1.8408786066470304,4.917193291872591e-05,19,True,4.4609832942757125e-60,390,False
14,11,666.0793588833387,781.9738871588211,True,3.689449536073798e-31,0.06055810033604121,19,156,True,True,2.331217324576832,1.8442472954676241,12.333200908847447,9.900731030452357,1.84128958829854,6.565052529071995e-05,19,True,7.70637756581122e-61,390,False
13,18,665.4892195639652,799.6828838829449,True,1.0052357270556439e-29,0.235438249832909,18,156,True,True,2.3375655635051196,1.8222224402759104,12.241454589369496,9.729713469077463,1.8181809869538896,0.0004622344021917022,18,True,1.2905097757396533e-68,382,False
13,17,663.9098518644599,795.0536601761901,True,2.7239530024700197e-30,0.241192779153861,18,156,True,True,2.3409840616646593,1.8324360542286984,12.291264997517672,9.797836969149916,1.8282647153724623,0.00016547664735565821,18,True,5.189581153308796e-69,384,False
13,19,667.3482943445184,804.5918146707476,True,3.977060229206711e-34,0.23955354453781097,18,156,True,True,2.3519507253929217,1.8360167437488497,12.347090171459467,9.804491673212027,1.8319845770461083,5.827442854327441e-05,18,True,3.1499688669231008e-68,380,False
13,20,669.1579091051934,809.4512854386721,True,1.7552588265674932e-34,0.22250231846601606,18,156,True,True,2.352945811029849,1.8382694082020368,12.350080239605985,9.82047308904009,1.8341809877613129,8.144124130129352e-05,18,True,2.1180446980603207e-67,378,False
12,14,662.5086988117273,781.4530830944593,True,2.0255277108902357e-32,0.1973896157474371,17,156,True,True,2.363074100057315,1.8473841320608944,12.327559236280061,9.84058222593946,1.8419468361924993,3.0334677411250462e-06,17,True,8.274797157421593e-66,390,False
12,15,662.7701611748724,784.7644014648539,True,2.2330479857051263e-32,0.1862817783028816,17,156,True,True,2.367297895418524,1.846664020770096,12.319740260324549,9.821057557866398,1.841462703783923,3.55125299310358e-06,17,True,9.040371027708568e-64,388,False
12,13,662.6258054241553,778.5203336996376,True,2.641598926147603e-32,0.1418139874576935,17,156,True,True,2.3700252296245092,1.8505066986895973,12.373382429640545,9.857705463899224,1.8446960832670265,2.1050251684437457e-06,17,True,4.424790110283268e-67,392,False
12,16,664.4585538414042,789.5026501386352,True,1.4135837847624833e-31,0.16193785393499932,17,156,True,True,2.3722394840998784,1.851812412809326,12.356424714385001,9.859895000487743,1.847197023414353,5.418102402176137e-06,17,True,4.303969412594475e-67,386,False
12,20,667.1997216408404,804.4432419670695,True,4.816876200257342e-37,0.22167238296607558,17,156,True,True,2.392840567558597,1.8580397682345273,12.48711925600968,9.89841176540286,1.8522570452966427,7.114282121783958e-07,17,True,5.2969671089850515e-64,378,False
12,17,661.9282383072104,790.022190611691,True,9.921925087262509e-31,0.23574578598675985,17,156,True,True,2.3948153531575023,1.8547536383037173,12.479258626026668,9.885676236223508,1.8491585274379332,3.1802219528351208e-06,17,True,5.022125179554404e-66,384,False
12,18,663.5506699892856,794.6944783010156,True,4.7657495764971845e-30,0.22862524975236467,17,156,True,True,2.395756074717002,1.8520637976492231,12.445240070734478,9.84493170485159,1.846325473174968,1.6987562881411726e-06,17,True,8.062488119136698e-65,382,False
12,19,665.4014910290564,799.5951553480361,True,3.871605993501611e-36,0.23643110571634662,17,156,True,True,2.4006714620811795,1.8582664729741236,12.512711533383728,9.889730026114213,1.8525896034656697,8.368522467886401e-07,17,True,3.7683748091257317e-65,380,False
13,24,669.9472404041461,822.4400407666229,True,2.1384348698178135e-38,0.26724691505097087,18,156,True,True,2.4166909307426123,1.897930402614196,12.726223876746799,10.142296725632455,1.8926170560951685,0.00018222991741971968,18,True,1.5075641230875195e-66,370,False
13,25,671.8729515413465,827.4156079110729,True,5.248683765105176e-38,0.26423218581740854,18,156,True,True,2.432641833131311,1.9116024867336114,12.803054695724642,10.202209195600876,1.905578788757069,0.0006267123934342403,18,True,1.532101254584014e-69,368,False
13,28,674.6709837513114,839.3632081427863,True,2.721506680897491e-39,0.22914357674688648,18,156,True,True,2.4396271735733213,1.9015404634220037,12.915795151678958,10.19868295625658,1.896707459047973,0.0012376790609404046,18,True,6.801638898320182e-61,362,False
12,24,668.2620166237584,817.7049609789858,True,3.88587318940256e-40,0.2529421044846792,17,156,True,True,2.4462827841690875,1.90239060999774,12.806040593609655,10.141428640019102,1.8952761210410214,2.3143998482367753e-07,17,True,2.5190857933183233e-65,370,False
13,26,673.0688796365265,831.6613920135025,True,1.0027587881928807e-37,0.25469213039144956,18,156,True,True,2.4511717922769836,1.9228383582185087,12.890873184297478,10.25799730664036,1.9165412889210074,0.00045566243072812387,18,True,8.551670253551184e-66,366,False
13,38,679.10139139507,874.2921758590403,True,1.257749999542912e-45,0.25628869025058276,18,156,True,True,2.459005660715974,1.8930680901876615,13.550486380953924,10.555590183031146,1.8964428500124897,4.677345313870682e-05,18,True,9.786614394151342e-61,342,False
12,25,670.2084206763491,822.7012210388259,True,1.0352445278409183e-39,0.250397889571553,17,156,True,True,2.469690660891783,1.9208946061536725,12.913102368707891,10.230529778676516,1.9130070103556558,1.4072197936280025e-06,17,True,1.7480581165151382e-67,368,False
13,27,674.9640117522517,836.6063801364771,True,9.321383329442266e-38,0.23913021539309562,18,156,True,True,2.4699282450933353,1.938392423882731,12.994595600494543,10.352712646311094,1.9325995927575048,0.0003208039687913508,18,True,1.4906321429952035e-62,364,False
12,38,677.2536849409571,869.3946133976779,True,1.2065735714467195e-47,0.2283630593689938,17,156,True,True,2.4719765443023762,1.89347908363324,13.620657284967788,10.575170808679875,1.8961931893815105,2.3112711208159215e-07,17,True,2.5887925912129137e-58,342,False
12,28,672.9999440812982,834.6423124655237,True,1.1975754347191976e-40,0.2314642920459857,17,156,True,True,2.480267926938343,1.9157499559973277,13.028661368919888,10.244033993996984,1.9085664956447341,2.0643792566046073e-06,17,True,1.903374965656251e-61,362,False
12,26,671.4488580370542,826.9915144067805,True,1.5363355848818833e-39,0.23771266791033116,17,156,True,True,2.486434945422064,1.9315628313302027,12.991952434055811,10.281940343404107,1.9233017764492641,5.416344762427058e-07,17,True,7.106583953083593e-66,366,False
12,27,673.392740582735,831.9852529597109,True,2.028462179605738e-39,0.22665572319906555,17,156,True,True,2.5047135539235916,1.9471964522861827,13.089708820532193,10.374863859143264,1.9393358795049098,3.5174575642146996e-07,17,True,3.8645529136084494e-63,364,False
