p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
47,18,674.8833975329769,912.7721660984408,False,2.215332087692591e-34,,31,156,False,True
56,12,665.7534964537715,912.7918330409841,False,7.128497297798324e-28,,31,156,False,True
12,48,690.1663880005815,912.8058765297976,True,5.108533852735884e-47,0.07661326944585939,17,156,True,True
26,37,681.0642986931173,912.8533552440821,False,4.444351977405083e-41,0.007039398150551295,31,156,False,True
17,44,687.2499340101524,912.9392785466182,True,1.1489638872974218e-40,0.0019231240741682649,22,156,False,True
32,33,675.0546574595376,912.9434260250015,False,4.559719842437471e-34,,31,156,False,True
54,15,662.8875899081877,912.9757825026497,False,1.872482005376791e-32,,31,156,False,True
7,28,766.7486279530904,913.1417163010681,True,8.798974913489373e-36,7.219937056649327e-09,12,156,False,True
2,13,827.841211474182,913.237179677169,True,1.0541896561429044e-29,1.1071464004228332e-17,8,156,False,True
16,46,684.7190673994029,913.4582679431182,True,8.88420241116266e-45,0.0013937805090650816,21,156,False,True
18,43,687.8281615329136,913.5175060693794,True,1.9668416798954984e-43,0.0023753233385900487,23,156,False,True
30,0,782.3989731302563,913.5427814419863,True,1.6376454757400852e-17,1.3080233151605841e-07,31,156,False,True
19,42,687.8955179923978,913.5848625288636,True,1.7876583577901346e-42,0.001976197958468559,24,156,False,True
12,49,687.9214405015291,913.6107850379949,True,7.017931571591447e-49,0.08835277591361874,17,156,True,True
38,24,684.8844995852221,913.6237001289373,True,3.8611737522166824e-29,,31,156,False,True
20,41,687.9515999206119,913.6409444570777,True,2.910440476038873e-41,0.012990961964420558,25,156,False,True
9,52,688.0114551190586,913.7007996555244,True,2.596617389770488e-45,0.007935832257589709,14,156,False,True
15,46,688.0519572973175,913.7413018337832,True,6.747351453445422e-44,0.016236343946086883,20,156,False,True
17,45,685.0398121610954,913.7790127048106,True,1.27746433142483e-41,0.0013336394652273046,22,156,False,True
27,38,675.8997273457196,913.7884959111835,False,3.2648538396409926e-43,0.005794932545620105,31,156,False,True
3,0,865.0131615690773,913.8108576850699,True,8.384293448119369e-11,0.0001226072430528093,8,156,False,True
34,31,675.9263536211574,913.8151221866214,False,8.30238918068499e-34,,31,156,False,True
29,38,669.9170371409812,913.9055177209442,False,9.121814313919127e-47,0.004826906942364285,31,156,False,True
1,12,834.7163037705686,914.0125599590566,True,1.0998471177797143e-27,2.832263393508411e-23,8,156,False,True
41,20,688.3320350105805,914.0213795470463,True,8.034052935740539e-28,,31,156,False,True
