p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
9,35,-3407.6536198164013,-3097.746021996864,True,9.705371447538764e-32,0.7619446574640067,14,1095,True,True,0.034741193548960894,0.023073979240663206,0.5402132913667892,0.36592809699407564,0.023073801255067423,0.0007284867710067277,14,True,3.1805794610894825e-24,4200,False
9,17,-3392.568050076604,-3172.6336258175775,True,2.3403429475755756e-26,0.2659554720097893,14,1095,True,True,0.03481163780394739,0.023263588951807163,0.5441527993731463,0.37063460329811365,0.023263420755037963,2.0259165944866958e-11,14,True,1.8135645392132492e-18,4254,False
10,17,-3390.8328235124955,-3165.8998896112184,True,3.4557823943933256e-27,0.06532862112619496,15,1095,True,True,0.03482604524648237,0.023286854601554892,0.5441843845100062,0.37096115197587426,0.023286653257581114,8.018481521025311e-11,15,True,2.0339367500856247e-18,4254,False
9,37,-3409.2493141740606,-3089.344697070022,True,1.7326749818063237e-33,0.6857461860405332,14,1095,True,True,0.034832946417614925,0.02314442948738328,0.541173226792691,0.36691099869405946,0.02314419630973626,0.0005305805417046467,14,True,5.817213116104636e-32,4194,False
9,44,-3404.086506080026,-3049.192321480233,True,8.68981737129702e-35,0.6764310831262794,14,1095,True,True,0.03486148748602344,0.02323920277591231,0.538347967680046,0.3672998892103232,0.02323887698912302,0.0009251388670236491,14,True,2.818350459826955e-31,4173,False
9,38,-3407.556954940511,-3082.6538281942217,True,5.0754464512866495e-33,0.6757567821289059,14,1095,True,True,0.03486310970007128,0.023154573370323336,0.5414781014970238,0.36692419721378133,0.02315433840830204,0.0005165747089494865,14,True,1.1978466661022812e-31,4191,False
9,39,-3406.4112359629917,-3076.509599574452,True,8.322082334842106e-35,0.6723043322688764,14,1095,True,True,0.034886030064843476,0.023201352969557013,0.541247960234154,0.3674794418836679,0.023201079936865602,0.00041420559230263,14,True,6.225738233134617e-32,4188,False
9,18,-3391.8134545104585,-3166.8805206091815,True,4.915783029647272e-26,0.27844616190403243,14,1095,True,True,0.03488855141929209,0.02332085006142338,0.545419954565133,0.37157863634533383,0.023320715309254444,4.210664838197468e-11,14,True,2.140944763892514e-18,4251,False
9,45,-3402.383095509025,-3042.4904012669817,True,1.047162861051768e-34,0.6880571155609115,14,1095,True,True,0.03489654974199053,0.023254102973014754,0.538531082435936,0.36741748568943916,0.02325377009922018,0.00119781727979202,14,True,3.1471167738004003e-31,4170,False
9,43,-3405.98676163638,-3056.0910866788377,True,5.213712036996082e-35,0.6818645381340657,14,1095,True,True,0.03489804885876879,0.02325318316706751,0.539752323613621,0.36773509577661745,0.023252877578989105,0.0009205103674524581,14,True,3.917333342659159e-32,4176,False
9,40,-3405.166546422137,-3070.2664003913465,True,6.314698270778238e-35,0.6654239739983314,14,1095,True,True,0.034904357793805164,0.023196893845185303,0.5413660462324523,0.36729922162040807,0.0231966320713118,0.0006213003531007665,14,True,2.5287120823455183e-32,4185,False
9,46,-3400.758125439087,-3035.866921554793,True,2.2599814890715372e-34,0.6909646381871921,14,1095,True,True,0.03493214120965155,0.023253300540562256,0.5387458058917743,0.36734486423619434,0.023252935788729234,0.0011169281298459473,14,True,4.7996830767080883e-32,4167,False
8,17,-3392.9597549133186,-3178.023840296543,True,7.64381410907254e-27,0.209986322087891,14,1095,True,True,0.03494058681894861,0.023376490607744476,0.5460577149240285,0.3724679046161455,0.023376256330991257,1.985669727632879e-11,14,True,2.301538076742158e-18,4254,False
9,47,-3398.7633924023503,-3028.873678875806,True,3.63079348960501e-34,0.6919292791348011,14,1095,True,True,0.03494498562258538,0.023272514007916627,0.5387500015829463,0.3675751351517637,0.023272165584934175,0.0015582139908443806,14,True,6.424447129843792e-32,4164,False
9,19,-3392.405183069136,-3162.4737395256084,True,3.7823012401631746e-26,0.3092093751994774,14,1095,True,True,0.03496558946427927,0.023364858214156167,0.546061948876222,0.37216139690390787,0.023364749457246474,6.021913481038994e-11,14,True,7.801985267757093e-18,4248,False
9,53,-3393.7033691989327,-2993.822597818885,True,3.4150415827521514e-35,0.6635447576323328,14,1095,True,True,0.034995006366113926,0.023278940376874533,0.5385216858158249,0.36704282436793306,0.02327862690678381,0.0170881204415163,14,True,2.3582265173877336e-32,4146,False
9,48,-3396.7792889029806,-3021.8910657341858,True,4.454143190078432e-34,0.6908474003312389,14,1095,True,True,0.03499527871519266,0.02332070159896791,0.5393274656996393,0.36827620452195614,0.023320332180183923,0.0017684445154979307,14,True,1.5725705743196913e-32,4161,False
8,18,-3392.234049078468,-3172.2996248194418,True,1.4874886619421483e-26,0.2074137302985156,14,1095,True,True,0.035006692009765174,0.02343725239369372,0.5471799069421586,0.37348717610405535,0.023437050474007928,2.5777492867485356e-11,14,True,2.3211337386517794e-18,4251,False
8,20,-3395.205737961731,-3165.274294418203,True,3.587789830268727e-27,0.1682125062197852,14,1095,True,True,0.03506863921397708,0.02340899993699358,0.5474205904056008,0.3727816461307498,0.023408814174686772,4.33910430147336e-12,14,True,7.21559160814488e-18,4245,False
8,19,-3393.108815521542,-3168.175881620265,True,9.790577026259174e-27,0.21793106548552582,14,1095,True,True,0.03508247620213735,0.023474569987406987,0.547761750288441,0.3739614792240368,0.023474398971666206,3.8591175580260685e-11,14,True,8.250862289774501e-18,4248,False
