param,coef,std_err,t_value,p_value
intl_L34,-3.643064865118458e-05,0.0004937677820340588,-0.07378093504017176,0.9411846973064437
wd_1,-0.020591452559818084,0.0031635101742768248,-6.509052105237901,7.562648955969161e-11
wd_2,-0.011731124917371626,0.002411602147001745,-4.864452841840639,1.1477386721766692e-06
wd_3,-0.016732542265245075,0.002310737771582533,-7.241212079978084,4.4469238008776763e-13
wd_4,-0.013519449978594514,0.0024565623156555137,-5.503402007120246,3.725316326030725e-08
wd_5,-0.0141409504734595,0.0022393756172695576,-6.314684488125928,2.707132039367797e-10
wd_6,-0.020861576849579243,0.0030049256777907856,-6.942460175892479,3.853295984267167e-12
m_2,0.0015397558496297035,0.003760509474491875,0.4094540540514812,0.6822064782752411
m_3,0.0017735186611256052,0.003166351802747282,0.5601142171210456,0.575401533653439
m_4,0.0022597527989778885,0.0035228049676907774,0.64146406619245,0.5212212201749994
m_5,0.005466776665989188,0.003789813712872946,1.4424921856765847,0.14916357447930437
m_6,0.002645180195353791,0.0031435085149606077,0.841473844516352,0.40008253176509756
m_7,0.0025755233909186023,0.002845610268812627,0.90508648325664,0.3654195723616256
m_8,0.0018524155812936988,0.002850275637382308,0.6499075236789928,0.5157519579982098
m_9,0.0027186555079627213,0.0031269138524082627,0.8694372906592511,0.3846079938634914
m_10,0.004233084191905487,0.003552689238579349,1.1915154711359486,0.23345128675771232
m_11,0.0033448152900397436,0.002972584066050537,1.1252214288034466,0.2604952147761306
m_12,0.008089725155676585,0.004325254076914565,1.870346807798958,0.061435673445245295
