p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
15,12,-4272.289336102006,-4047.356402200729,True,1.0139603283841184e-11,0.3030383928645259,20,1095,True,True,0.03893462838375375,0.02447281432156554,0.48174783947269517,0.30794512437989535,0.024471679187680503,0.020064469218095363,20,True,2.792223297322519e-20,2938,False
16,25,-4274.169190751838,-3979.2571218590524,True,2.104193401287077e-17,0.5235214412242365,21,1095,True,True,0.0389460816218857,0.024741460830814962,0.4804272958948838,0.3108928324014428,0.024740357853978483,0.0031468894422549127,21,True,1.4054656068196692e-23,2915,False
17,25,-4272.205802795447,-3972.295224260411,True,3.927726225104875e-17,0.5271214549170841,22,1095,True,True,0.03895347026442697,0.02472266141418185,0.4806647377588008,0.3106697890379718,0.024721561706052886,0.0032762550192675676,22,True,1.9181827337353495e-23,2915,False
18,26,-4283.139517252855,-3973.231919433317,True,1.3355626086488627e-16,0.49356773411513344,23,1095,True,True,0.039000987730386974,0.024824787478199817,0.48163591599220784,0.31202853758091925,0.02482368894484151,0.0031883861717563206,23,True,4.485141978480267e-24,2913,False
18,30,-4283.257906763252,-3953.3562703747125,True,1.6124071746390638e-20,0.502432996430053,23,1095,True,True,0.03900411722131039,0.024875952282150837,0.48150126474457233,0.31250688424207845,0.024874797033585676,0.004066926331745274,23,True,5.058019811129923e-26,2905,False
19,26,-4281.158157592719,-3966.2520501309314,True,5.309390728166312e-16,0.4854439699520505,24,1095,True,True,0.039024894109356355,0.02483921407278374,0.481910071134039,0.3121986704806322,0.024838111200811433,0.0031738663524145754,24,True,3.8142373464958455e-24,2913,False
14,12,-4273.752517694155,-4053.818093435129,True,1.9054570529665773e-11,0.265592113033019,19,1095,True,True,0.039030265480010644,0.024535021696522986,0.4824742393920683,0.3086538994157479,0.024533885793445596,0.0009762962383947915,19,True,8.562353544578568e-20,2939,False
19,30,-4281.403599185566,-3946.503453154776,True,2.594340108740945e-20,0.49336687790846967,24,1095,True,True,0.03903029919423911,0.0248931085204744,0.4817985701525468,0.3127091865623626,0.02489194868671453,0.0040539660822079175,24,True,4.7899270198079733e-26,2905,False
18,31,-4281.397208599677,-3946.497062568886,True,3.158139775013316e-20,0.4857117190782212,23,1095,True,True,0.03904310453729803,0.024878788637536814,0.4818760763841456,0.3125155095804303,0.024877622985626912,0.004470328314402668,23,True,3.0570992835324688e-27,2903,False
18,27,-4281.2226923940425,-3966.3165849322545,True,1.291044281695006e-16,0.48802468068377114,23,1095,True,True,0.03906930161180028,0.024860049450438942,0.48242845942836077,0.3124461843502497,0.024858951034026473,0.003913947847469695,23,True,1.0986576108590058e-23,2911,False
14,14,-4279.044189486089,-4049.112745942561,True,1.0879151865355316e-12,0.27726866685056234,19,1095,True,True,0.03909205481276931,0.02462711860911757,0.4826160549737391,0.30969032567694854,0.024625938248414542,0.0023148415643089696,19,True,1.6434237138706961e-19,2937,False
