기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
08년10월24일,64.59,62.6,79.72,,79.33,48.86,37.48
08년10월25일,,,,,,,
08년10월26일,,,,,,,
08년10월27일,,,,,,,
08년10월28일,62.57,61.59,77.66,,77.34,46.15,33.2
08년10월29일,63.47,62.52,77.42,,77.95,46.35,30.9
08년10월30일,67.69,66.37,81.68,,82.3,49.42,34.55
08년10월31일,59.69,58.57,77.44,,77.82,42.31,28.35
08년11월01일,,,,,,,
08년11월02일,,,,,,,
08년11월03일,62.27,61.43,82.88,,82.48,42.84,28.91
08년11월04일,56.04,55.31,81.97,,79.76,38.56,24.08
08년11월05일,59.94,59.26,87.31,,84.18,42.03,34.05
08년11월06일,56.13,55.66,82.06,,78.79,39.95,30.57
08년11월07일,53.78,52.76,79.05,,75.72,40.04,27.55
08년11월08일,,,,,,,
08년11월09일,,,,,,,
08년11월10일,55.51,54.54,81.73,,78.4,42.29,31.91
08년11월11일,52.62,51.71,79.53,,75.77,40.4,32.23
08년11월12일,50.87,49.96,77.39,,73.64,38.45,32.35
08년11월13일,47.85,47.01,73.65,,71.58,34.87,32.04
08년11월14일,49.08,48.07,75.34,,74.83,37.4,29.37
08년11월15일,,,,,,,
08년11월16일,,,,,,,
08년11월17일,46.14,45.01,74.34,,73.94,35.59,26.26
08년11월18일,44.49,43.36,72.77,,71.25,36.61,24.3
08년11월19일,42.07,40.93,71.41,,69.76,36.09,25.37
08년11월20일,41.0,39.9,70.56,,68.91,35.09,27.86
08년11월21일,39.41,38.41,69.1,,66.96,33.38,25.73
08년11월22일,,,,,,,
08년11월23일,,,,,,,
08년11월24일,39.19,38.19,67.91,,65.87,33.01,25.6
08년11월25일,43.21,42.28,71.02,,69.01,35.2,30.96
08년11월26일,40.61,39.73,69.86,,68.55,35.03,30.89
08년11월27일,43.53,42.68,69.91,,69.91,37.27,35.3
08년11월28일,44.95,43.85,68.28,,69.88,37.75,33.97
08년11월29일,,,,,,,
08년11월30일,,,,,,,
08년12월01일,45.16,44.05,65.57,,68.1,36.32,33.87
08년12월02일,42.15,39.16,61.41,,64.38,34.78,29.8
08년12월03일,38.97,37.87,60.75,,63.89,34.32,29.35
08년12월04일,36.03,34.77,59.53,,63.29,33.88,27.79
08년12월05일,34.33,33.1,59.25,,62.82,34.19,26.76
08년12월06일,,,,,,,
08년12월07일,,,,,,,
08년12월08일,,,,,,,
08년12월09일,36.55,35.31,59.23,,62.56,34.79,30.61
08년12월10일,36.81,35.14,58.89,,62.26,34.75,29.59
08년12월11일,38.62,36.19,57.65,,60.45,35.48,28.81
08년12월12일,42.96,40.46,60.64,,62.82,37.78,33.23
08년12월13일,,,,,,,
08년12월14일,,,,,,,
