station_id,grid_id,cell_x,cell_y,center_lon,center_lat,source_region,brand,is_self
A0000231,G500_1906_3899,953000,1949500,126.97077231,37.54589833,서울,SK에너지,일반
A0000232,G500_1906_3899,953000,1949500,126.97077231,37.54589833,서울,HD현대오일뱅크,일반
A0000234,G500_1912_3896,956000,1948000,127.00482166,37.53252575,서울,SK에너지,일반
A0000235,G500_1905_3894,952500,1947000,126.96527326,37.52333977,서울,GS칼텍스,일반
A0000238,G500_1912_3896,956000,1948000,127.00482166,37.53252575,서울,SK에너지,일반
A0000240,G500_1907_3901,953500,1950500,126.97636923,37.55493677,서울,HD현대오일뱅크,일반
A0000242,G500_1982_3834,991000,1917000,127.40132966,37.25409409,경기,GS칼텍스,셀프
A0000243,G500_1982_3834,991000,1917000,127.40132966,37.25409409,경기,SK에너지,일반
A0000245,G500_1904_3897,952000,1948500,126.95951745,37.53683385,서울,SK에너지,일반
A0000246,G500_1849_3901,924500,1950500,126.64806542,37.5530243,인천,GS칼텍스,일반
A0000248,G500_1906_3837,953000,1918500,126.97273406,37.26648212,경기,SK에너지,셀프
A0000249,G500_1968_3633,984000,1816500,127.32447342,36.34802576,대전,SK에너지,셀프
A0000250,G500_1871_3894,935500,1947000,126.77289711,37.52231209,경기,SK에너지,셀프
A0000251,G500_2239_3387,1119500,1693500,128.81599124,35.23200096,경남,S-OIL,셀프
A0000252,G500_2042_3324,1021000,1662000,127.7327446,34.95488762,전남,S-OIL,일반
A0000253,G500_1884_3871,942000,1935500,126.84735337,37.4190911,경기,HD현대오일뱅크,셀프
A0000255,G500_1895_3895,947500,1947500,126.90865547,37.52757661,서울,HD현대오일뱅크,일반
A0000256,G500_2020_3742,1010000,1871000,127.6149582,36.83941914,충북,S-OIL,셀프
A0000257,G500_1928_3782,964000,1891000,127.09810701,37.01908495,경기,SK에너지,셀프
A0000259,G500_1991_3698,995500,1849000,127.45245684,36.64113909,충북,자가상표,일반
A0000260,G500_1978_3647,989000,1823500,127.38009918,36.41120208,대전,GS칼텍스,일반
A0000261,G500_1894_3892,947000,1946000,126.90310466,37.51402843,서울,GS칼텍스,일반
A0000262,G500_1895_3936,947500,1968000,126.90719018,37.71234312,경기,GS칼텍스,일반
A0000263,G500_1891_3868,945500,1934000,126.88701576,37.40578291,경기,S-OIL,셀프
A0000264,G500_1885_3893,942500,1946500,126.85214859,37.51826667,서울,GS칼텍스,일반
A0000265,G500_1979_4013,989500,2006500,127.38315737,38.06077869,경기,SK에너지,셀프
A0000266,G500_1860_3755,930000,1877500,126.71715831,36.89549089,충남,SK에너지,일반
A0000268,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,일반
A0000269,G500_1942_3802,971000,1901000,127.17641541,37.10946722,경기,HD현대오일뱅크,일반
A0000270,G500_1892_3893,946000,1946500,126.89175311,37.51847727,서울,S-OIL,셀프
A0000271,G500_1882_3900,941000,1950000,126.83489525,37.54971787,서울,SK에너지,일반
A0000272,G500_2143_4043,1071500,2021500,128.31937035,38.19316822,강원,SK에너지,일반
A0000277,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,일반
A0000279,G500_1892_3897,946000,1948500,126.89160673,37.5365035,서울,S-OIL,셀프
A0000281,G500_1893_3897,946500,1948500,126.89726591,37.53653252,서울,GS칼텍스,일반
A0000283,G500_1938_3536,969000,1768000,127.15920283,35.91040725,전북,자가상표,일반
A0000285,G500_1896_3895,948000,1947500,126.914314,37.52760481,서울,SK에너지,일반
A0000287,G500_1895_3895,947500,1947500,126.90865547,37.52757661,서울,SK에너지,일반
A0000289,G500_2103_3700,1051500,1850000,128.07896203,36.64875656,경북,S-OIL,일반
