상표,대상,경도,위도
sk,대리점,127.25943451482722,37.02349696849173
sk,대리점,127.27197333468342,37.22871236960932
sk,대리점,126.68704887659392,37.58848669570418
sk,대리점,126.67380374967873,35.468927892732204
sk,대리점,126.76829449375094,37.555570205744765
sk,대리점,127.10979332471598,36.42904291664226
sk,대리점,127.24453850339756,37.24571970509391
sk,대리점,126.99532414383371,37.26992474209012
sk,대리점,127.2204654877804,36.773748390805615
sk,대리점,126.97010887987298,37.3465044561674
sk,대리점,127.01171231597084,37.39201378955416
sk,대리점,126.6509702218033,37.54645647935384
sk,대리점,127.06913917950806,36.35456315855331
sk,대리점,127.42940050571976,37.28672686152469
sk,대리점,126.87798341291038,37.53595481213868
sk,대리점,126.90938336826932,37.52568741860258
sk,대리점,126.80011131244493,37.67734370918536
sk,대리점,129.0609705,37.6151065
sk,대리점,126.70119029270562,37.66793633864984
sk,대리점,127.41811499824244,36.42818297381562
sk,대리점,126.6798168975213,37.48623454482908
sk,대리점,126.73230056647832,36.02239576922961
sk,대리점,128.16500200823023,37.15410578339448
sk,대리점,127.4305179,36.4851575
sk,대리점,127.93882238489542,35.33182245447076
sk,대리점,126.67860931920389,37.464287389454725
sk,대리점,127.0798488754944,37.078543059926105
sk,대리점,127.44318139323188,36.87136397889272
sk,대리점,126.9809953,37.2332182
sk,대리점,127.172802,36.7890814
sk,대리점,128.7689634,35.5932942
sk,대리점,126.88105113296844,37.18667954440851
sk,대리점,126.69175214689338,37.52277610804418
sk,대리점,128.00002605193504,36.199789903176814
sk,대리점,127.48789574797868,36.64320337410881
sk,대리점,128.0480276137391,37.256905191607366
sk,대리점,128.0480276137391,37.256905191607366
sk,대리점,126.78765271115356,37.2034886142238
sk,대리점,126.98372399170636,37.56048541240484
sk,대리점,127.49795708706704,36.9080468784076
sk,대리점,128.30330665519517,37.038139739701926
sk,대리점,128.4546364185179,37.60568228348574
sk,대리점,127.1114321132344,36.98523530029854
sk,대리점,126.7929263909834,37.39962507907057
sk,대리점,127.27089333459162,38.05841436578888
sk,대리점,129.3445358,36.0233892
sk,대리점,129.3716408,36.0503586
sk,대리점,128.53608972521192,35.85037050209807
sk,대리점,126.96525352369171,37.52134769436599
sk,대리점,127.54245583336196,37.21279806277302
sk,대리점,126.7698264171734,37.525033227422405
sk,대리점,127.076521128364,37.56489278182844
sk,대리점,127.759823867252,35.5522111019411
sk,대리점,126.4822759698033,35.12958100538118
sk,대리점,126.80907802283912,36.94333531069756
sk,대리점,126.80907802283912,36.94333531069756
sk,대리점,126.57953085272509,36.55270101418784
sk,대리점,127.33175936462918,37.65507239668813
sk,대리점,126.8009126527522,37.08519541778444
sk,대리점,127.08940473882704,36.1880828183542
sk,대리점,127.07579983317514,37.59423808663196
gs,공장,126.65187421888812,37.51061682031844
gs,공장,126.60291797958,37.479185994668335
gs,공장,127.7271952,34.8617687
gs,저유소,126.78765798577744,35.189170547282
gs,저유소,126.613131176507,35.9765200473852
gs,저유소,128.76885066858716,35.885079112996706
gs,저유소,127.35672018387696,36.29651459864659
gs,저유소,129.14142861683112,37.48717749138036
gs,저유소,126.4349491059526,34.77577987295085
gs,저유소,129.0836028347491,35.10943200653055
gs,저유소,126.56517409788836,33.23989779111966
gs,저유소,126.60291797958,37.479185994668335
gs,저유소,126.98698642339608,35.81622978158289
gs,저유소,126.54180347420596,33.52005749680051
gs,저유소,128.2329008867002,37.16054319108188
gs,저유소,128.59555584066592,35.19870681570755
gs,저유소,129.37568784252562,36.046195873273525
gs,대리점,127.51567891480636,34.984308216756446
gs,대리점,127.6403258,34.7857474
gs,대리점,126.8188765,35.162687
gs,대리점,127.4169165,35.2695663
gs,대리점,127.0358863680778,35.97462018701469
gs,대리점,127.10500961715913,35.85876858040331
gs,대리점,127.71033089430212,34.94453132918728
gs,대리점,127.32524420902315,34.83866712301833
gs,대리점,126.8804264,35.1593454
gs,대리점,126.84910988078512,35.71218932294342
gs,대리점,126.94247098681112,34.676739286177586
gs,대리점,126.6427453,34.6354301
gs,대리점,127.16081247054862,35.912386314552414
gs,대리점,128.0569742128689,34.984770786842574
gs,대리점,127.12547222009242,35.91161410121882
gs,대리점,126.87575408073788,35.59844572506262
gs,대리점,127.45507271706808,35.147889795474605
gs,대리점,127.04261676580192,37.459640996538106
gs,대리점,127.09852857529724,36.476127995005214
gs,대리점,126.9684424559037,35.22262331550886
gs,대리점,127.5717043,37.2383198
gs,대리점,128.32197249937173,36.94314660360155
gs,대리점,126.40197456981026,34.78679445149896
gs,대리점,129.0549079625343,35.1306217839063
gs,대리점,128.8401292675875,37.846047649074414
gs,대리점,127.6817592,36.9310861
gs,대리점,127.50193960727724,36.96654354586181
gs,대리점,127.41816443296705,36.41926006779127
gs,대리점,127.20199421094466,37.410717414963536
gs,대리점,126.64418531382756,37.202881510637305
gs,대리점,128.54980750489662,35.23652311959003
gs,대리점,128.52857370744988,35.300768049034744
gs,대리점,126.5627293293993,37.64581758113331
gs,대리점,127.14810397220138,37.64000270726415
gs,대리점,129.0408297543229,35.21337989454176
gs,대리점,126.79814357763446,37.53811215864007
gs,대리점,126.90141628414064,37.57774362497404
gs,대리점,126.8596165271212,37.57921124956808
gs,대리점,128.15154380822491,36.6218330447529
gs,대리점,128.8038984,37.7585798
gs,대리점,128.8073101,37.7583821
gs,대리점,128.25210540285008,35.05689429054313
gs,대리점,127.48160933302516,37.79706275618418
gs,대리점,126.7885245011628,35.98283892300184
gs,대리점,127.38844710964564,35.38883080391173
gs,대리점,126.4720945,36.7860372
gs,대리점,128.34744390304317,35.29293088281229
gs,대리점,129.2101310863983,35.57203386022954
gs,대리점,127.21364363610542,37.2477134861298
gs,대리점,127.12020944207325,36.84003098358448
gs,대리점,126.40662543826744,34.792156454732826
gs,대리점,126.52095984501123,33.24695360100045
gs,대리점,127.72194759229912,37.89185128174154
gs,대리점,127.0932761,36.7983178
gs,대리점,129.03498340290952,35.1116263320411
gs,대리점,126.71061548013954,35.991150935518064
gs,대리점,126.9255650029351,37.53037313517317
gs,대리점,126.79380578957812,37.80878953193778
gs,대리점,127.83799456423102,37.0240527316172
gs,대리점,127.69480066144048,37.82304821839816
gs,대리점,129.1928191117868,35.72235936459984
gs,대리점,127.7077558,37.8049992
gs,대리점,126.85091677731926,37.67065801227713
gs,대리점,129.2241191357286,35.25658155060393
gs,대리점,129.0576465,35.1351895
gs,대리점,126.94561806989137,37.37443405194468
gs,대리점,127.41568600521374,36.35311045053388
gs,대리점,126.74924029907817,37.5160439496288
gs,대리점,127.82769757582524,37.71242263621884
gs,대리점,128.5481533657992,36.00703125907328
gs,대리점,128.8569087,35.8897841
gs,대리점,128.94746395849265,35.21487497897152
gs,대리점,128.80298993452394,35.11423426856719
gs,대리점,126.7791458926404,35.12317008673979
gs,대리점,129.215745339447,35.49353481474961
gs,대리점,126.56501054891598,36.74290462105556
gs,대리점,129.23383834064882,35.32167069755572
gs,대리점,127.07965419459023,37.05266242145755
gs,대리점,128.16486123034758,36.12904297058005
gs,대리점,128.12358138552042,35.1603278116387
gs,대리점,127.45402834200218,35.153047098257645
gs,대리점,127.1564201254346,36.89355257012404
gs,대리점,126.90141628414064,37.57774362497404
gs,대리점,127.45533103527777,37.5055681104785
gs,대리점,127.10915497989372,37.31487506253959
gs,대리점,126.80599415902782,37.0365236590844
gs,대리점,127.1555786,37.0446322
gs,대리점,126.97071652912008,37.893439313136255
gs,대리점,127.11102282714556,37.34222930845164
gs,대리점,126.90061615829244,35.133188950705254
gs,대리점,127.25902291453072,37.65462175351815
gs,대리점,126.49552633336906,35.266752807186805
gs,대리점,129.27060883200153,35.41423132146754
gs,대리점,126.85313712082184,37.33520532013978
gs,대리점,127.57832170639288,37.27855815439886
gs,대리점,127.57964334238834,37.27904957862624
gs,대리점,127.44319883092956,36.98405473317191
gs,대리점,128.57522484021823,35.22804080672303
gs,대리점,127.67728239552515,34.945702224498746
gs,대리점,127.49742231614768,36.15458907887855
gs,대리점,127.3466706,36.7169678
gs,대리점,126.82159611302218,35.23692060240597
gs,대리점,127.93734498345944,37.39523278446169
gs,대리점,127.00989896205004,37.48650563241753
gs,대리점,128.37545974127028,35.086553134337926
gs,대리점,129.12238395442688,35.230787841940334
gs,대리점,126.75963253562212,37.69846680838034
gs,대리점,127.41345775659836,36.39264129145564
gs,대리점,129.3791084541525,36.349135483036406
gs,대리점,128.45853130256853,36.09285752723337
gs,대리점,127.08671120125494,37.5035105412323
gs,대리점,128.9115340116555,37.765483211158205
gs,대리점,128.55178721613382,35.9621718880026
gs,대리점,129.35602532017305,35.58009833419345
gs,대리점,127.61015479336398,34.96317530892789
gs,대리점,126.64983145361953,37.54904412606429
gs,대리점,127.02558203102424,37.49993681289057
gs,대리점,128.40414763570985,35.93296354120744
gs,대리점,126.67386686789,35.463834038120375
gs,대리점,129.1405958026314,37.471335669520734
gs,대리점,126.85858209528452,37.55340720976885
gs,대리점,126.81868134654756,35.14378626908839
gs,대리점,128.067213515548,35.16712416082193
gs,대리점,126.62324385359705,36.51785461848921
gs,대리점,127.1214789145621,37.27433442198166
gs,대리점,128.51888406947643,35.82984456490794
gs,대리점,127.115378,35.716038
gs,대리점,126.9304552,37.3341317
gs,대리점,127.0740917,35.8246299
gs,대리점,127.66182873038204,34.77754490433892
gs,대리점,128.97083930020125,35.13910080416969
gs,대리점,127.36824450225426,34.6874687161736
gs,대리점,126.76546313347367,37.765083220713166
gs,대리점,126.71252386442656,37.629769459170085
gs,대리점,128.08356568311936,36.12430969295868
gs,대리점,128.09591001387255,36.12847723835851
gs,대리점,128.5254212894839,35.8973165025602
gs,대리점,126.71330481691784,37.421880464391656
gs,대리점,129.20412092616596,35.80438476168941
gs,대리점,127.07546414403114,37.49769293755613
gs,대리점,126.9888361,37.2600271
gs,대리점,127.73166721074284,37.8395926966802
gs,대리점,127.5226946,36.6951561
gs,대리점,126.87588569627884,35.55430754233108
gs,대리점,127.41896940646508,36.42236823578818
gs,대리점,126.95938520735804,37.68034455116215
gs,대리점,127.25153349741504,38.01927742573469
gs,대리점,129.2307003185252,35.895460798019975
gs,대리점,128.72520545553868,35.649606177540164
gs,대리점,128.53670940143158,36.0379069466485
gs,대리점,127.92386436053252,34.817773579487444
gs,대리점,128.44302713969387,35.7119858250353
gs,대리점,128.77573433044816,35.95925169212262
gs,대리점,129.0750793711571,37.60055056024955
gs,대리점,128.14341699418267,36.13366786508982
gs,대리점,128.61371321123676,35.850848084965875
gs,대리점,129.32501644481428,36.00484445583875
gs,대리점,126.85253696755368,35.11600100396049
gs,대리점,128.72046053277842,34.87136175308561
gs,대리점,128.316395475913,35.86799515274717
gs,대리점,128.28632409410582,36.99523789403661
gs,대리점,128.0028408,36.2009798
gs,대리점,127.58802101072855,34.86893585524357
gs,대리점,127.13915668350272,37.60102862298853
gs,대리점,127.33382336806332,37.35359576640236
gs,대리점,127.05243244526622,37.5504544153296
gs,대리점,127.15630411025916,37.431705259600136
gs,대리점,126.83827330924362,37.492834765079
gs,대리점,127.0474791456955,37.730838321912906
gs,대리점,126.88927437487078,37.50882001954224
gs,대리점,127.1661855,36.687916
gs,대리점,129.36933294941488,36.01731384265234
gs,대리점,128.58990146681185,35.88137699654832
gs,대리점,128.53468550455418,35.83766591301595
gs,대리점,128.74693586983025,36.56211055181838
gs,대리점,128.58990146681185,35.88137699654832
gs,대리점,128.98408040875862,35.174977008881264
gs,대리점,128.6838276,36.5254255
gs,대리점,128.70246404831224,36.54857688732429
gs,대리점,129.36933294941488,36.01731384265234
gs,대리점,128.22162147637093,37.127992693695205
gs,대리점,126.84131570837098,37.56754635540874
gs,대리점,128.22162147637093,37.127992693695205
gs,대리점,129.3607507,35.9779335
gs,대리점,128.96325653645997,35.08519417168841
gs,대리점,129.0566772,35.1336914
gs,대리점,126.96664059056354,37.574461460942985
gs,대리점,129.34450928419255,35.525905157120945
gs,대리점,127.46252533539692,36.86911813990778
gs,대리점,126.8273114,35.0923692
gs,대리점,128.1011950362078,35.14564399995276
gs,대리점,126.97283317848463,37.561888455482304
gs,대리점,129.0953096,35.1176226
gs,대리점,127.39900138732952,36.64555915633646
gs,대리점,127.3755806,37.2940578
gs,대리점,128.63038765857067,35.86702863214627
gs,대리점,127.08649050270786,35.86317824710526
gs,대리점,126.90145902665928,37.696388788808456
gs,대리점,129.2234667,35.235852
gs,대리점,129.04484998528622,35.12396476881482
gs,대리점,126.6256902808201,37.46805386675072
gs,대리점,127.0326345797253,37.644216639313946
gs,대리점,126.9518919646779,35.95654071120559
gs,대리점,126.95724586301922,35.92929193587776
gs,대리점,126.9715804370945,35.92410861316057
gs,대리점,127.9791790284267,35.29973849118943
gs,대리점,128.637614753532,36.83096697614801
