상표,구분,이름,주소
gs,대리점,희망LPG충전소,충남 서산 갈산동 157-13
gs,대리점,（유）영동충전소,충청북도 영동군 영동읍 설계리 635
gs,대리점,（유）이리가스,전라북도 익산시 신흥동 856-4
gs,대리점,（주）강릉개인택시충전소,강원도 강릉시 두산동 228-3
gs,대리점,（주）창원충전소,경상남도 창원시 팔용동 39-12
gs,대리점,（합）서천엘피지,충청남도 서천군 서천읍 삼산리 788-6
s-oil,공장,공장,울산광역시 울주국 온산읍 산암리 360
s-oil,저유소,군산저유소,전북 군산시 소룡동 1-10
s-oil,저유소,영천저유소,경북 영천시 대창면 구지리 1123-1
s-oil,저유소,인천저유소,인천 중구 항동7가 70
s-oil,저유소,제주저유소,제주 제주시 건입동 908
s-oil,대리점,㈜ 대경아스팔트,서울 강남구 대치4동 889-5(상제리제 A동1514호)
s-oil,대리점,㈜ 삼 천 화 성,경기도 화성시 반송동 93-3(동양파라곤102-442)
s-oil,대리점,㈜대하상사,대구광역시 북구 노원3가 34-11
s-oil,대리점,㈜동 남 유 화,서울 강남구 대치3동 1001-10 동남유화 B/D
s-oil,대리점,㈜미래아스팔트,서울 송파 신천동 더샆스타리버 102-234
s-oil,대리점,㈜삼광에너지,부산광역시 강서구 대저2동 1997
s-oil,대리점,㈜세종코퍼레이션,서울 영등포구 여의도동 44-27 하남빌딩 1001
s-oil,대리점,㈜에스에이씨,대구광역시 남구 대명9동 493-12
s-oil,대리점,㈜한라석유,제주시 건입동 908
s-oil,대리점,㈜한진,서울시 중구 봉래동 1가 132-4 한일빌딩 1층
s-oil,대리점,남선석유㈜,광주광역시 동구 용산동 297
s-oil,대리점,동광유업㈜,서울시 영등포구 여의도동 34-2 부국증권 B/D 7층
s-oil,대리점,쌍용양회㈜,서울시 중구 저동2가 24-1 쌍용빌딩5층
s-oil,대리점,씨엔에스에너지㈜,서울시 마포구 공덕동 252-5 태영빌딩 12층
s-oil,대리점,에이피플라자㈜,서울 영등포구 여의도동 43 미원빌딩 509
s-oil,대리점,오 엘 텍 ㈜,서울 서초구 양재2동 275-4 트윈타워 B동 619호
hd,공장,본사(공장),충청남도 서산시 대산읍 대죽리 640-6
hd,저유소,군산저유소,전북 군산시 소룡동 1-10
hd,저유소,대구저유소,대구시 북구 노원3가 602
hd,저유소,목포저유소,전남 영암군 삼호읍 나불리 330-2 대불공단 2-16블록
hd,저유소,부산저유소,부산광역시 남구 감만동 254-11
hd,저유소,안동저유소,경북 안동시 와룡면 서지리 290-1
hd,저유소,여주저유소,경기도 여주군 여주읍 연라리 166-3
hd,저유소,영남화력,울산광역시 남구 매암동 29
hd,저유소,오드펠저유소,울산광역시 울주군 온산면 처용리 136
hd,저유소,옥계저유소,강릉시 옥계면 주수2리 560
hd,저유소,인천저유소,인천시 서구 원창동 379
hd,저유소,제주저유소,제주도 북제주군 애월읍 고내리 1260-1
