상표,구분,이름,주소
gs,대리점,(유)청기와에너지 신태인,전라북도 정읍시 신태인읍 신덕리 95
gs,대리점,(유)청기와에너지 장흥,전라남도 장흥군 안양면 기산리 687-9
gs,대리점,(유)평화에너지,전라남도 해남군 계곡면 반계리 산 41-1
gs,대리점,(유)한국충전소,전북 완주군 봉동읍 구만리 146
gs,대리점,(유한)동아가스충전소,경상남도 사천시 노룡동 449-1
gs,대리점,(전주)공단충전소,전라북도 완주군 삼레읍 신탁리 301
gs,대리점,(정읍)공단LPG충전소,전라북도 정읍시 북면 승부리 363-2
gs,대리점,(주) 삼립식품황전(순천방향)주,전남 순천시 황전면 선변리 560-8
gs,대리점,(주) 에이치앤디이 서울만남의,서울시 서초구 원지동 10-16
gs,대리점,(주) 지탑 신공주 충전소,충청남도 공주시 우성면 신웅리 219
gs,대리점,(주)고서엘피지충전소,전라남도 담양군 고서면 보촌리 278-2
gs,대리점,(주)고신통상여주충전소,경기도 여주군 가남면 본두리 670-2
gs,대리점,(주)광동유통단양(하)주유소,충청북도 단양군 단성면 하방리 56
gs,대리점,(주)금성가스,전라남도 목포시 산정동 1422-22
gs,대리점,(주)녹색에너지,"부산광역시 동구 좌천1동 68-876, 68-877"
gs,대리점,(주)다원 연곡LPG충전소,강원도 강릉시 연곡면 동덕리 616-4
gs,대리점,(주)대영에너지,충청북도 음성군 음성읍 읍내리 783-3
gs,대리점,(주)대영에너지(휴게소),충청북도 음성군 대소면 삼정리 136-2
gs,대리점,(주)대전개인택시충전소,대전광역시 대덕구 상서동 450
gs,대리점,(주)대지석유갈마LPG충전소,경기도 광주시 삼동 265-4
gs,대리점,(주)대호에너지,경기도 용인시 기흥읍 영덕리 104-6
gs,대리점,(주)대호에너지 선감충전소,경기도 안산시 단원구 선감동 683-4
gs,대리점,(주)덕양에너지,경상남도 마산시 두척동 290-2
gs,대리점,(주)덕양에너지 직영 칠원충전소,경상남도 함안군 칠원면 구성리 210
gs,대리점,(주)동양충전소,경기도 김포시 대곶면 대명리 390-8
gs,대리점,(주)비에프이앤디 사노충전소,경기도 구리시 사노동 29
gs,대리점,(주)삼보-삼보가스충전소,부산광역시 북구 만덕동 436-2
gs,대리점,(주)삼표에너지 김포충전소,서울특별시 강서구 오쇠동 150-5
gs,대리점,(주)삼표에너지 수색충전소,서울특별시 은평구 증산동 223-15
gs,대리점,(주)상암에너지,경기도 고양시 덕양구 덕은동 425-97
gs,대리점,(주)서원 문경(하)충전소,경상북도 문경시 유곡동 466번지
gs,대리점,(주)소모홀딩스엔테크놀러지성암,광주광역시 남구 송화동 258-10
gs,대리점,(주)쓰리원 강릉(상) 충전소,강원도 강릉시 성산면 보광리 139
gs,대리점,(주)쓰리원 강릉(하) 충전소,강원도 강릉시 성산면 보광리 120
gs,대리점,(주)연합진흥 고성공룡나라(하남,경남 고성군 대가면 신전리 67
gs,대리점,(주)오일유업경춘LPG충전소,경기도 가평군 가평읍 상색리 280
gs,대리점,(주)와이엔제이 에너지,전라북도 군산시 성산면 고봉리 172-6
gs,대리점,(주)우진엘피지산업 우진충전소,전라북도 남원시 어현동 599
gs,대리점,(주)유니 충전소,충청남도 서산시 잠홍동 산57
gs,대리점,(주)이엠석유 함안(부산방향),경남 함안군 군북면 유현리 993-6
gs,대리점,(주)정우에너지,울산광역시 울주군 범서읍 입암리 997-1
gs,대리점,(주)한미석유직영유방동lpg충전,경기도 용인시 처인구 유방동 502-1
gs,대리점,(주)협동엘피지스타충전소,충청남도 천안시 성성동 411-5
gs,대리점,21세기가스충전소,전라남도 목포시 산정동 1417-5
gs,대리점,GS서귀포충전소,"제주특별자치도 서귀포시 법환동 26,26-1"
gs,대리점,GS춘천 충전소,강원도 춘천시 근화동 794-1
gs,대리점,KTX 충전소,충남 아산시 배방면 장재리 1196-1
gs,대리점,SC㈜,부산시 중구 영주1동 556-4
gs,대리점,SJ오일㈜,전북 군산시 장미동 46
gs,대리점,SJ오일㈜-서울지사,서울시 영등포구 여의도동 10-1
gs,대리점,STX에너지,경기도 파주시 파주읍 봉암리988-2
gs,대리점,㈜ 남영전구 충주(상) 충전소,충청북도 충주시 가금면 용전리 380-4
gs,대리점,㈜ 중부에너지 신동 충전소,강원도 춘천시 신동면 팔미리 861-112
gs,대리점,㈜KR산업 경주(하)휴게소,경상북도 경주시 내남면 월산리 1114-3 외 3필지
gs,대리점,㈜가스코 유정충전소,강원 춘천시 신동면 증리 179-8
gs,대리점,㈜그린에너지,경기 고양시 덕양구 원당동 233
gs,대리점,㈜금륜에너지 삼성가스,부산 기장군 일광면 삼성리 512-9
gs,대리점,㈜녹색에너지 범일영업소,부산광역시 동구 범일동 252
gs,대리점,㈜대양충전소,경기도 군포시 금정동 1-49
gs,대리점,㈜대전개인택시제3충전소 동대전,대전광역시 대덕구 오정동 432-1
gs,대리점,㈜대지가스삼산충전소,인천 부평구 삼산동 106-43
gs,대리점,㈜대현유통 홍천강(하)주유소,강원도 홍천군 북방면 소매곡리 294
gs,대리점,㈜대현하이웨이 동명하충전소,경상북도 칠곡군 동명면 가천리 85-2
gs,대리점,㈜대호석유 평사충전소,경상북도 경산시 진량읍 평사리 65-2
gs,대리점,㈜동구에너지 강서충전소,부산시 강서구 대저1동 1748-3
gs,대리점,㈜동구에너지 두동충전소,경남 진해시 두동 1297-2
gs,대리점,㈜동일가스,광주광역시 광산구 월전동 139-4
gs,대리점,㈜문수가스충전소,울산광역시 울주군 웅촌면 대복리 55
gs,대리점,㈜백광소재 서산(하)충전소,충청남도 서산시 해미면 삼송리 119
gs,대리점,㈜부일이앤이,부산시 기장군 장안읍 좌천리 497-2
gs,대리점,㈜블루에너지,경기도 송탄시 장안동 241-1
