구분,보통휘발유,자동차용경유
13년08월3주,916.09,973.85
13년08월4주,875.01,925.36
13년09월1주,922.91,971.01
13년09월2주,938.48,989.70
13년09월3주,909.84,962.68
13년09월4주,875.52,924.18
13년10월1주,847.26,895.75
13년10월2주,873.51,947.62
13년10월3주,883.97,966.05
13년10월4주,872.30,947.09
13년10월5주,803.97,877.72
13년11월1주,841.37,931.03
13년11월2주,845.28,934.46
13년11월3주,864.65,937.87
13년11월4주,835.77,906.33
13년12월1주,861.73,946.17
13년12월2주,885.28,973.45
13년12월3주,888.46,961.30
13년12월4주,852.86,925.55
14년01월1주,841.99,902.04
14년01월2주,877.13,936.98
14년01월3주,874.60,933.10
14년01월4주,872.29,924.41
14년01월5주,830.38,879.56
14년02월1주,870.59,927.43
14년02월2주,878.20,937.83
14년02월3주,890.87,938.76
14년02월4주,861.91,907.38
14년03월1주,883.81,931.53
14년03월2주,891.83,934.94
14년03월3주,886.44,923.31
14년03월4주,865.48,897.28
14년04월1주,831.69,883.64
14년04월2주,866.84,908.21
14년04월3주,869.40,907.66
14년04월4주,864.49,893.26
14년04월5주,853.42,880.22
14년05월1주,861.26,896.82
14년05월2주,855.06,892.39
14년05월3주,859.48,889.18
14년05월4주,831.58,861.04
14년06월1주,861.77,881.09
14년06월2주,853.67,873.14
14년06월3주,850.30,866.98
14년06월4주,845.37,867.29
14년07월1주,852.34,861.63
14년07월2주,884.72,882.57
14년07월3주,865.88,860.92
14년07월4주,855.94,855.35
14년07월5주,819.50,826.77
14년08월1주,827.03,858.88
14년08월2주,803.57,852.00
14년08월3주,790.70,840.02
14년08월4주,768.58,811.70
14년09월1주,778.80,824.36
14년09월2주,794.35,837.19
14년09월3주,782.55,821.48
14년09월4주,774.46,809.03
14년10월1주,764.48,792.55
14년10월2주,794.58,820.37
14년10월3주,767.03,797.97
14년10월4주,729.37,768.28
14년10월5주,694.98,730.06
14년11월1주,727.02,764.15
14년11월2주,716.80,759.39
14년11월3주,695.03,742.69
14년11월4주,666.08,714.93
14년12월1주,649.93,697.32
14년12월2주,621.55,677.30
14년12월3주,571.33,638.69
14년12월4주,541.38,614.07
14년12월5주,508.09,575.48
15년01월1주,510.58,582.74
15년01월2주,451.12,524.49
15년01월3주,437.56,518.85
15년01월4주,398.20,476.77
15년02월1주,455.22,520.11
15년02월2주,508.96,568.99
15년02월3주,523.44,583.87
15년02월4주,518.01,575.86
15년03월1주,557.12,610.40
15년03월2주,568.25,603.71
15년03월3주,556.80,586.22
15년03월4주,538.13,566.22
15년04월1주,520.27,548.08
15년04월2주,543.14,569.36
15년04월3주,545.22,571.53
15년04월4주,559.66,584.18
15년04월5주,554.21,575.19
15년05월1주,594.60,606.31
15년05월2주,616.08,630.80
15년05월3주,624.88,632.08
15년05월4주,613.73,615.01
15년06월1주,597.56,595.81
15년06월2주,630.99,619.10
15년06월3주,638.70,616.75
15년06월4주,627.29,606.28
15년07월1주,594.64,575.36
15년07월2주,602.40,582.23
15년07월3주,592.76,564.68
15년07월4주,596.12,570.17
