p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
19,12,-4268.619107068356,-4023.692134598077,True,8.943474100261372e-12,0.2200061767462731,24,1095,True,True
20,11,-4268.315372640134,-4023.388400169855,True,9.524722184008082e-11,0.1384524774828823,25,1095,True,True
15,3,-4203.265715662783,-4023.3193685417614,True,4.7221135189542663e-07,0.1578391952911779,20,1095,True,True
13,2,-4188.145261976843,-4023.1944437825737,True,7.380385132550626e-08,0.07591360547680728,18,1095,True,True
8,19,-4247.803888175935,-4022.870954274658,True,1.7944724499177362e-13,2.9569069394134278e-06,14,1095,False,True
10,21,-4267.714018761873,-4022.787046291594,True,1.5012635881393934e-13,0.025073378301985725,15,1095,False,True
19,10,-4257.523037006183,-4022.5930838204044,True,9.115116935378869e-09,0.12820148377219884,24,1095,True,True
11,20,-4267.091792521703,-4022.1648200514232,True,1.2244052280680175e-13,0.021681141232464722,16,1095,False,True
21,8,-4257.066223195284,-4022.1362700095056,True,7.239062662624326e-09,0.06299236469816467,26,1095,True,True
18,15,-4277.027962777455,-4022.1039710226746,True,7.535889848242412e-13,0.31607952619346363,23,1095,True,True
20,9,-4256.872120432732,-4021.942167246954,True,8.028233932961742e-09,0.08592704940701039,25,1095,True,True
15,2,-4195.983781070072,-4021.035943591301,True,4.044614503385708e-07,0.20366911498147847,20,1095,True,True
9,1,-4160.718562524463,-4020.7602925414462,True,0.0009153312192852022,0.0007923483599204577,14,1095,False,True
16,4,-4210.425264264701,-4020.481897859178,True,2.3965386576334233e-06,0.03917523621426693,21,1095,False,True
18,7,-4235.407427133602,-4020.4715125168264,True,7.355758422303504e-06,0.05995184857616535,23,1095,True,True
12,6,-4200.412205054508,-4020.465857933487,True,4.070982018742778e-06,0.022501584445224022,17,1095,False,True
16,17,-4275.10369699783,-4020.1797052430497,True,5.167605148144278e-12,0.3782341742251061,21,1095,True,True
17,16,-4275.037288596571,-4020.11329684179,True,2.3916956052708432e-12,0.3871724734589387,22,1095,True,True
13,5,-4199.596434360886,-4019.650087239864,True,1.993839657630082e-06,0.01628627307312755,18,1095,False,True
8,20,-4249.481144327856,-4019.5497007843283,True,1.0978711462260922e-13,3.945345966944969e-06,14,1095,False,True
15,18,-4274.460322428259,-4019.5363306734785,True,3.2181872428007227e-13,0.2543725877062743,20,1095,True,True
19,14,-4274.319668793695,-4019.3956770389145,True,4.444479255028084e-13,0.21652188869034877,24,1095,True,True
14,20,-4279.290984806081,-4019.3684834090495,True,7.485749058905787e-14,0.25067888460387744,19,1095,True,True
19,13,-4268.861576503459,-4018.936094390929,True,3.041688142115866e-11,0.20404500860865238,24,1095,True,True
15,5,-4208.770968695971,-4018.827602290448,True,6.921642159402012e-06,0.07738600170833584,20,1095,True,True
13,18,-4263.56173314633,-4018.6347606760505,True,2.81106745808201e-13,0.005477549925517182,18,1095,False,True
14,19,-4273.54192703298,-4018.6179352781996,True,9.46154712168779e-13,0.2064918344624866,19,1095,True,True
11,1,-4168.510515031877,-4018.555225764359,True,0.0011834388850692973,0.10463840928973873,16,1095,True,True
14,6,-4208.317678854214,-4018.3743124486914,True,1.0800973789528599e-05,0.09444807461726337,19,1095,True,True
21,11,-4268.183037409792,-4018.2575552972617,True,1.3054155161345975e-10,0.11781166331033513,26,1095,True,True
16,3,-4203.143634958261,-4018.198778194989,True,4.845642357618279e-07,0.07310178305818521,21,1095,True,True
20,12,-4267.681692086603,-4017.756209974073,True,1.398986989833559e-11,0.12404608312405078,25,1095,True,True
12,19,-4262.564556788626,-4017.6375843183464,True,9.697176300166582e-13,0.010856483959875752,17,1095,False,True
9,22,-4261.828946157461,-4016.901973687182,True,1.1560971325826457e-13,0.0026767220721848426,14,1095,False,True
20,10,-4256.400619691925,-4016.4721568638965,True,1.0582338340342886e-08,0.07626053148622998,25,1095,True,True
21,9,-4256.229230801333,-4016.300767973304,True,1.3607654913576846e-08,0.06640056345715593,26,1095,True,True
16,2,-4195.957246529321,-4016.0108994083,True,4.226127120915199e-07,0.14453368499052313,21,1095,True,True
11,21,-4265.776539433576,-4015.8510573210456,True,1.3399133060838472e-13,0.025693858781814412,16,1095,False,True
10,22,-4265.764866388995,-4015.839384276465,True,9.465531309047744e-14,0.02452385962558127,15,1095,False,True
19,15,-4275.621078913485,-4015.6985775164535,True,1.0846071591016106e-12,0.23956918196792018,24,1095,True,True
12,20,-4265.225886442119,-4015.300404329589,True,1.1857790141922535e-13,0.02050252618100154,17,1095,False,True
22,8,-4255.163212070792,-4015.234749242763,True,7.616646886571177e-09,0.03467231416379213,27,1095,False,True
18,16,-4275.029582787844,-4015.107081390813,True,1.5228329446005696e-12,0.31578032294124214,23,1095,True,True
16,18,-4274.191863961628,-4014.2693625645966,True,1.36563839074822e-13,0.34432970125755935,21,1095,True,True
19,7,-4233.975159734081,-4014.0407354750546,True,8.187342040663767e-06,0.07323790963780483,24,1095,True,True
13,6,-4198.86112390243,-4013.916267139158,True,4.124315632709359e-06,0.019925477293815854,18,1095,False,True
