date,dom_chg,dom_level,prev_dom_level,fitted_chg,fitted_level,err_chg,err_level
2015-09-12,6.508580580581302,541.0,506.91,4.4121598978533125,529.7764218716907,2.09642068272799,11.223578128309327
2015-09-19,-1.8431294435576895,531.12,541.0,-0.11527066293681648,540.37674499761,-1.727858780620873,-9.256744997609985
2015-09-26,-1.6496980838759612,522.43,531.12,-0.7537120625538337,527.1319326452771,-0.8959860213221275,-4.701932645277111
2015-10-03,-2.30220144826232,510.54,522.43,-2.06580152793941,511.7483438524341,-0.2363999203229099,-1.2083438524340977
2015-10-10,6.04794362725114,542.37,510.54,4.970783850446598,536.5591607148486,1.0771597768045416,5.81083928515136
2015-10-17,-3.491486122919696,523.76,542.37,-1.8177514239669568,532.6001266216872,-1.673734698952739,-8.840126621687205
2015-10-24,-2.6015179939022914,510.31,523.76,-1.7374962004211327,514.7382927727524,-0.8640217934811587,-4.4282927727524
2015-10-31,-7.973575185643611,471.2,510.31,-7.519696464175827,473.34353738575334,-0.45387872146778374,-2.1435373857533477
2015-11-07,3.671169121322837,488.82,471.2,3.0365074491603905,485.72747074354635,0.6346616721624465,3.092529256453645
2015-11-14,-2.8195426181736316,475.23,488.82,0.762264221467751,492.56033748367196,-3.5818068396413825,-17.33033748367194
2015-11-21,-2.120250825697134,465.26,475.23,-0.14981084152370558,474.5185869578132,-1.9704399841734286,-9.258586957813236
2015-11-28,-3.990357531820621,447.06,465.26,-3.264431787081419,450.31713150915397,-0.725925744739202,-3.2571315091539645
2015-12-05,-1.2469494662445513,441.52,447.06,-0.2743009969958624,445.8353902889944,-0.9726484692486889,-4.315390288994422
2015-12-12,1.4525269430074594,447.98,441.52,3.4021276235701094,456.79951443334494,-1.94960068056265,-8.81951443334492
2015-12-19,-1.8655912374556216,439.7,447.98,-1.4144768504949035,441.688030734359,-0.45111438696071815,-1.9880307343590289
2015-12-26,-0.5358886320900424,437.35,439.7,-0.20195837046156118,438.81288514795443,-0.3339302616284813,-1.4628851479544096
2016-01-02,-6.199460062300144,411.06,437.35,-3.592626054380246,421.91654310423417,-2.6068340079198977,-10.856543104234163
2016-01-09,7.6116435452300735,443.57,411.06,5.399201389785161,433.86403566552434,2.2124421554449123,9.705964334475652
2016-01-16,-3.5849258367544046,427.95,443.57,-4.111664484184151,425.7017483616702,0.5267386474297462,2.248251638329805
2016-01-23,-6.504493902104969,401.0,427.95,-3.206479413413778,414.4455372910586,-3.2980144886911904,-13.4455372910586
2016-01-30,-3.1796965910139363,388.45,401.0,-5.428203819630501,379.813137787265,2.248507228616565,8.636862212734968
2016-02-06,0.7080038809708533,391.21,388.45,3.1798143183783387,401.00047208700914,-2.4718104374074854,-9.790472087009164
2016-02-13,-3.0442605681462176,379.48,391.21,-2.836771820584653,380.26819572519037,-0.20748874756156477,-0.7881957251903486
2016-02-20,-5.581382375277855,358.88,379.48,-4.554713963858877,362.5834863266386,-1.026668411418978,-3.703486326638597
2016-02-27,6.872162055402509,384.41,358.88,0.6335489125549454,361.16089801034883,6.238613142847563,23.249101989651194
2016-03-05,-4.373545471696616,367.96,384.41,0.17015212519214817,385.0646385672273,-4.543697596888764,-17.104638567227312
2016-03-12,10.010157630422167,406.7,367.96,10.503814322471587,408.71266550821457,-0.4936566920494201,-2.0126655082145817
2016-03-19,4.624615557567147,425.95,406.7,1.359670376716446,412.2675437712388,3.2649451808507006,13.682456228761168
2016-03-26,1.3547909821537196,431.76,425.95,1.0846121035862577,430.59505010682045,0.2701788785674619,1.1649498931795392
2016-04-02,-7.15172971296294,401.96,431.76,-4.403938377674824,413.15816862906235,-2.747791335288116,-11.198168629062366
2016-04-09,5.182305751126659,423.34,401.96,3.2129442772737913,415.08446263890016,1.9693614738528677,8.255537361099812
2016-04-16,-1.6073113993863686,416.59,423.34,-2.1007903115391935,414.5392802961224,0.4934789121528249,2.0507197038775757
2016-04-23,0.16788990368494794,417.29,416.59,1.1205246235928625,421.28424449577784,-0.9526347199079146,-3.9942444957778207
2016-04-30,0.29432547778363016,418.52,417.29,1.2337545972807724,422.47022447898246,-0.9394291194971423,-3.950224478982477
2016-05-07,3.8851211213787984,435.1,418.52,1.0376251319393661,422.8852771424079,2.847495989439432,12.214722857592108
2016-05-14,1.7677803283381976,442.86,435.1,2.390652707057045,445.6270613005321,-0.6228723787188475,-2.7670613005320774
2016-05-21,2.8010291632810436,455.44,442.86,-0.5021764959940201,440.6416358833486,3.3032056592750636,14.798364116651385
2016-05-28,3.734502765926262,472.77,455.44,4.411282887585961,475.98046502160605,-0.6767801216596991,-3.210465021606069
2016-06-04,-5.1029486638420885,449.25,472.77,-3.5441796955654823,456.30763278242557,-1.5587689682766062,-7.057632782425571
2016-06-11,10.225720787963244,497.62,449.25,6.355638944644142,478.7295935319728,3.8700818433191015,18.89040646802721
2016-06-18,-3.4489349074411813,480.75,497.62,-3.5154055864113816,480.43054839343864,0.06647067897020031,0.3194516065613584
2016-06-25,0.02079866896016469,480.85,480.75,-1.0149885114650836,475.8951226340054,1.0357871804252483,4.954877365994605
2016-07-02,-6.238217039165317,451.77,480.85,-6.034035963637443,452.69337119874075,-0.2041810755278739,-0.9233711987407673
2016-07-09,6.040454809736229,479.9,451.77,2.774398782932436,464.4793907511999,3.266056026803793,15.420609248800076
2016-07-16,-5.029577713603128,456.36,479.9,-7.0995851156621255,447.0104166043914,2.070007402058997,9.34958339560859
2016-07-23,-7.321838231725053,424.14,456.36,-2.744779457019563,444.0042689587546,-4.57705877470549,-19.86426895875462
2016-07-30,-6.067619809813518,399.17,424.14,-4.3969846977546885,405.89469028980903,-1.6706351120588296,-6.724690289809018
2016-08-06,-4.111744279207485,383.09,399.17,-2.4665699741764433,389.4446272647214,-1.6451743050310421,-6.354627264721444
2016-08-13,4.516765083888785,400.79,383.09,4.4690796431992075,400.59892708286225,0.047685440689577696,0.19107291713777386
2016-08-20,-0.6633897133808908,398.14,400.79,1.6547029260068362,407.4770567409447,-2.318092639387727,-9.337056740944718
