p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
44,28,512.3648029888761,771.6025636050867,True,3.89483609999014e-42,,31,156,False,True
5,55,548.993840365875,771.6333288950912,True,1.2355536435314294e-57,0.11119606097611699,10,156,True,True
55,2,558.1653608597426,771.6552813672101,False,1.0227518450354173e-38,,31,156,False,True
31,38,521.7228888108301,771.8110814052922,True,1.575076145555054e-42,,31,156,False,True
42,29,515.6502106789787,771.8381152879399,True,7.159247370194876e-45,,31,156,False,True
11,54,534.0337727511899,771.9225413166538,True,9.270052422214848e-53,0.006769617681042517,16,156,False,True
58,18,500.5480881741065,771.9852728193152,False,2.800681722292689e-36,,31,156,False,True
43,29,512.8315780327678,772.0693386489784,True,1.297188437054033e-41,,31,156,False,True
43,1,598.2372894593409,772.0790818725645,True,6.603549086675523e-27,,31,156,False,True
38,33,515.9586528966327,772.1465575055938,True,4.1164211136606796e-44,,31,156,False,True
27,44,516.0552878024017,772.2431924113628,True,2.0622706737021557e-44,0.00021872216949516817,31,156,False,True
16,55,516.0807304157607,772.2686350247218,True,5.4484816489381705e-55,0.0013831388088347508,21,156,False,True
21,52,510.0638050152604,772.3514216387206,True,2.960144086351539e-48,0.0006683888454410982,26,156,False,True
56,21,497.8780303313324,772.3650709837907,False,1.4380523315346654e-38,,31,156,False,True
55,23,494.890911253548,772.4278079132558,False,1.4342699870482629e-37,,31,156,False,True
12,55,528.4399300318971,772.42841061186,True,6.376832848384601e-51,0.03554834940279482,17,156,False,True
55,22,497.9738882844478,772.4609289369062,False,1.22650211168096e-38,,31,156,False,True
34,35,522.3842821871559,772.472474781618,True,3.0746352518051713e-40,,31,156,False,True
45,28,510.26867999579736,772.5562966192575,True,1.376181928090967e-39,,31,156,False,True
57,19,501.18484925271207,772.6220338979208,False,1.1475204151016653e-37,,31,156,False,True
52,26,495.1403728078417,772.6772694675495,False,2.1943155195729376e-39,,31,156,False,True
2,15,681.2353647220776,772.7310449395637,True,2.656835706972066e-41,8.244636968274919e-19,8,156,False,True
46,27,510.5451795364272,772.8327961598874,True,2.363368418897954e-37,,31,156,False,True
49,27,501.45297006268856,772.8901547078974,False,1.5905301149362638e-39,,31,156,False,True
53,25,495.41322525985515,772.950121919563,False,1.0252635668217888e-37,,31,156,False,True
26,45,516.9335719645583,773.1214765735194,True,1.0454486023788878e-45,0.00032073476260094293,31,156,False,True
33,36,523.0781776945075,773.1663702889696,True,6.52108675621683e-41,,31,156,False,True
48,28,501.7309995935944,773.1681842388032,False,5.756178170644976e-41,,31,156,False,True
22,51,510.9646432576153,773.2522598810755,True,2.1940079947726133e-47,0.00026854941994658427,27,156,False,True
57,20,498.82813435338085,773.3151750058391,False,1.512881316582951e-38,,31,156,False,True
13,56,523.3367952679523,773.4249878624144,True,7.673758571720227e-51,0.006351434321565748,18,156,False,True
54,24,495.90674529215795,773.4436419518659,False,2.1282028728290588e-37,,31,156,False,True
32,37,523.3873747583691,773.4755673528311,True,1.4928671446256307e-41,,31,156,False,True
