week_end,actual_refinery_pre,source_date_in_csv,intl_w,is_excluded,intl_w_irf,intl_w_irf_up,intl_w_irf_down,intl_w_diff,intl_w_up,intl_w_down,intl_w_vol4,intl_w_vol8,trend,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12
2018-06-16,671.34,2018-06-14,599.5866995016279,0,585.6000492801243,1.8047452172571536,7.3842434967829345,0.9779092280773511,0.9779092280773511,-0.0,12.062702158490366,13.726109349075381,0.7885010266940452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-23,673.22,2018-06-21,594.7618692242582,0,585.4400745811394,2.6614167125396975,2.821391411524553,-4.824830277369642,0.0,4.824830277369642,8.560461393653867,13.291973023751767,0.7912388774811773,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-30,638.39,2018-06-28,608.3378686747106,0,588.1945217802122,6.192140292978552,3.4376930939057715,13.5759994504524,13.5759994504524,-0.0,11.032041109586624,13.976514235729578,0.7939767282683093,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-07,684.05,2018-07-07,618.9425974589866,0,597.809575209234,10.69557383783023,1.0805204088083997,10.604728784275949,10.604728784275949,-0.0,8.517382200866118,12.871984075691056,0.7967145790554415,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-14,693.62,2018-07-14,614.0018387807626,0,601.8016003081708,6.027009804590119,2.0349847056533568,-4.940758678224029,0.0,4.940758678224029,9.874361702229837,11.327702652358523,0.7994524298425736,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-21,696.04,2018-07-21,601.3664751397621,0,598.274345367422,3.0704581761253067,6.597713116874118,-12.635363641000481,0.0,12.635363641000481,12.515674698802297,11.373603817024419,0.8021902806297057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-28,683.95,2018-07-28,617.7429966619502,0,599.2321142186203,7.2811305480829125,6.323361696884593,16.376521522188114,16.376521522188114,-0.0,13.44866947938735,11.504902647604675,0.8049281314168378,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-08-04,665.97,2018-08-07,614.2531580540835,0,606.384818681816,9.124594127135696,1.9718896639399621,-3.489838607866659,0.0,3.489838607866659,12.368444133484012,10.384349407066907,0.8076659822039699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-11,701.05,2018-08-14,618.0846969218646,0,607.3431375630718,3.7339280452433163,2.7756091639875606,3.8315388677810915,3.8315388677810915,-0.0,12.254728372634919,10.394975872506876,0.810403832991102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-18,698.95,2018-08-21,617.944068434115,0,607.8245164559205,2.9709449903276357,2.4895660974788423,-0.14062848774960912,0.0,0.14062848774960912,8.686498091564989,10.062125921638348,0.813141683778234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
