date,actual_retail,intl_raw,actual_refinery_pre_raw,is_excluded,intl_irf,intl_irf_up,intl_irf_down,intl_irf_diff_1,intl_irf_diff_7,intl_irf_vol_7,intl_irf_vol_14,intl_irf_ma_7,intl_irf_ma_30,intl_raw_diff_1_diag,intl_raw_diff_7_diag,intl_raw_vol_7_diag,trend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12
2025-03-06,1578.28,787.9512640096964,,1,837.9126983831654,2.2412600615452174,3.8118478058214254,-1.570587744276395,-9.73814449422332,0.11152552510147618,0.37310021035825597,842.211896525906,851.7547512300077,-10.118972089741987,-6.175864558515059,7.220075614140074,16.889801505817932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-07,1575.56,780.8837307171219,925.61,1,836.1993599794215,2.243574531017183,3.9569129347611653,-1.7133384037439328,-10.061143433838993,0.16508563514954436,0.3931362208634672,840.7745903210719,850.999205410144,-7.067533292574467,-26.081077748242933,4.2070387649694485,16.892539356605067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-08,1572.11,780.8837307171219,,1,834.5772705765023,2.284404088284064,3.9064934912032756,-1.6220894029191868,-10.326086566350682,0.17378673672336864,0.38217439203750914,839.2994350973074,850.1953460194877,0.0,-26.081077748242933,4.2070387649694485,16.895277207392198,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,1571.06,780.8837307171219,,1,832.9648281443252,2.1178172676227116,3.7302596997998947,-1.6124424321770903,-10.729183620651156,0.13303597284144703,0.3471449348335148,837.7666945800714,849.3433694530424,0.0,-26.081077748242933,4.2070387649694485,16.89801505817933,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,1569.85,785.1580408140875,,1,831.0579425250797,1.9195203296599517,3.8264059489051685,-1.906885619245486,-11.225898552807394,0.18069591516298464,0.32946947149833955,836.1629947868133,848.4290385047263,4.274310096965564,-17.369909974571442,5.14541484850499,16.90075290896646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-11,1565.33,778.3035434123076,,1,829.2208495811324,2.053154898294996,3.890247842242684,-1.8370929439473684,-11.724728190624887,0.1551207217159653,0.28045580236698947,834.4880336167241,847.4622699157266,-6.854497401779895,-18.72409994363477,5.300942121378994,16.903490759753595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-12,1561.88,784.302840402875,,1,827.397215808227,2.0487231411524274,3.872356914057643,-1.8236337729053957,-12.086070319214855,0.1307652189441429,0.2228393306452548,832.7614521425504,846.4459162627622,5.999296990567359,-13.767395696563426,6.14426204917659,16.906228610540726,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,1558.41,783.5033614252777,,1,825.6084094175077,1.9261133714427323,3.714919762162145,-1.7888063907192873,-12.304288965657747,0.11205086876687455,0.21844276544783195,831.003696576028,845.380677000285,-0.7994789775972322,-4.447902584418671,4.983445207359649,16.908966461327857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-14,1555.5,775.6870513197263,899.24,1,823.8010181112521,1.9549442266939718,3.7623355329494697,-1.8073913062555675,-12.398341868169382,0.11147458494622668,0.21983515206638193,829.2325048805752,844.2648643357818,-7.816310105551452,-5.1966793973956555,5.1497794591529855,16.91170431211499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-15,1552.97,775.6870513197263,,1,822.0406020998964,1.9497849134637744,3.7102009248194325,-1.7604160113556873,-12.536668476605882,0.0910225758543253,0.2112180175774596,827.4415522410601,843.1102452730277,0.0,-5.1966793973956555,5.1497794591529855,16.914442162902123,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-16,1551.71,775.6870513197263,,1,820.3722795403718,1.8351296768932182,3.503452236417919,-1.668322559524654,-12.592548603953446,0.07352642857639471,0.1724567846112808,825.6426167262097,841.9141487636423,0.0,-5.1966793973956555,5.1497794591529855,16.917180013689254,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,1550.1,782.6351411057702,,1,818.557028478137,1.7018106960866595,3.5170617583215047,-1.815251062234779,-12.50091404694274,0.05751844666025613,0.1597775391867647,823.8567718623607,840.6701296177612,6.948089786043965,-2.5228997083172544,5.657977141428233,16.919917864476385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,1547.62,783.5307850002367,,1,816.6868590198378,1.78032449907161,3.6504939573708213,-1.8701694582991877,-12.533990561294559,0.06347992867397999,0.1287011470366156,822.0662017821758,839.3819757367777,0.8956438944665024,5.227241587929143,4.880234420075319,16.922655715263517,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,1545.44,772.3034413259614,,1,814.9048282530525,1.8151093922580956,3.597140159043354,-1.782030766785283,-12.492387555174446,0.06179355626523501,0.10276946694330939,820.2815749885795,838.0541296102182,-11.22734367427529,-11.999399076913505,6.004108005182477,16.92539356605065,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,1543.39,787.4104660796546,,1,813.1535439687252,1.729111567325368,3.4803958516528315,-1.751284284327312,-12.45486544878247,0.06298648755423594,0.08803656960558245,818.502308495896,836.6822610077396,15.107024753693167,3.9071046543768944,8.777504345837135,16.928131416837783,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-21,1541.64,795.9241275053239,898.23,1,811.4196569511573,1.8824016889364272,3.6162887065042617,-1.7338870175678949,-12.381361160094798,0.06363992096778348,0.0872134127886489,816.7335426158825,835.2692612299012,8.513661425669284,20.23707618559763,8.339967984696498,16.930869267624914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-22,1539.3,795.9241275053239,,1,809.8811885996871,2.0157632496593143,3.5542316011294037,-1.5384683514702147,-12.159413500209325,0.10818981516301768,0.10004102269972653,814.9964835444241,833.8329754620383,0.0,20.23707618559763,8.339967984696498,16.933607118412045,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-23,1538.56,795.9241275053239,,1,808.6786412460357,2.0237975137968593,3.226344867448152,-1.2025473536514255,-11.693638294336097,0.23101800861598842,0.1776707977069132,813.3259637880903,832.3802048171597,0.0,20.23707618559763,8.339967984696498,16.93634496919918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,1538.07,800.7699675477556,,1,807.4716962158475,1.9474994296018464,3.1544444597902315,-1.2069450301881943,-11.085332262289512,0.2772808381609957,0.21914026220051872,811.7423448934776,830.9082600287712,4.845840042431746,18.13482644198541,8.206303605208623,16.93908281998631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-25,1536.25,803.3533941051165,,1,806.3258952255195,2.0755127365749035,3.2213137269029173,-1.1458009903279844,-10.360963794318309,0.287495723356419,0.25681329732849645,810.262207208575,829.4173522211955,2.5834265573608945,19.822609104879803,8.172927280638293,16.941820670773442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,1534.94,812.2268641559083,,1,805.3470719670511,2.1632500137210813,3.1420732721894264,-0.9788232584684238,-9.55775628600145,0.30657687481695295,0.3040741476466198,808.8968134534318,827.9152908840957,8.873470050791752,39.923422829946844,5.506091450673334,16.944558521560573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,1533.9,809.5738219729401,,1,804.537093413199,2.203581259255845,3.013559813107943,-0.8099785538520337,-8.616450555526171,0.3154180637019405,0.3587502766765432,807.6658919454995,826.408752692999,-2.6530421829681927,22.163355893285484,4.439262610558564,16.947296372347708,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-28,1533.31,813.3548536602344,884.7,1,803.7977129062306,2.31476467763284,3.0541451846012615,-0.7393805069684731,-7.6219440449267495,0.27211446597029676,0.4006323458821924,806.5770427962244,824.904503686231,3.7810316872943304,17.43072615491053,3.8040602508931123,16.95003422313484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-29,1531.95,813.3548536602344,,1,803.1821351303072,2.3545760761429286,2.9701538520663973,-0.6155777759233843,-6.699053469379919,0.23959367465829215,0.44240095141400326,805.6200351577415,823.4222134279948,0.0,17.43072615491053,3.8040602508931123,16.95277207392197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,1531.63,813.3548536602344,,1,802.7474971966151,2.263675696844569,2.698313630536563,-0.4346379336921018,-5.931144049420595,0.2807045996606725,0.49340791195248973,804.772728864967,821.97177988744,0.0,17.43072615491053,3.8040602508931123,16.955509924709105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1531.83,813.1885007449781,,1,802.4438845514966,2.265214778934336,2.5688274240528353,-0.3036126451185055,-5.0278116643509065,0.2950876772378824,0.5265808925985521,804.0544700557741,820.5564641343949,-0.16635291525631146,12.418533197222473,3.7581832142794913,16.958247775496236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,1531.55,824.804284263003,,1,802.1654574598896,2.310366872393854,2.58879396400087,-0.27842709160699997,-4.160437765629922,0.2663466612667523,0.5311631812210276,803.4601218035414,819.1721789908918,11.615783518024841,21.45089015788642,5.311826743792837,16.960985626283367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,1531.57,822.1813828532465,,1,802.126770775702,2.456683679678339,2.495370363865908,-0.0386866841876099,-3.220301191349108,0.2769827785102113,0.5472352067636009,803.0000787762057,817.833609980819,-2.622901409756423,9.954518697338244,4.983514189582003,16.9637234770705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,1531.53,804.8618228138924,,1,802.1696181646411,2.4246232456904124,2.3817758567513967,0.042847388939094344,-2.36747524855798,0.28485637569753913,0.5458271070338716,802.6618680264118,816.5410779939152,-17.319560039354087,-4.71199915904765,8.688356426867543,16.966461327857633,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,1530.95,762.6241458785051,,1,802.1245061132015,2.4835297086500354,2.5286417600895765,-0.045112051439559764,-1.6732067930290668,0.23908513738483478,0.5049695109655952,802.4228384845503,815.2957853267739,-42.2376769353873,-50.73070778172928,17.59812683538238,16.969199178644764,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,1529.1,762.6241458785051,,1,801.5881893755031,2.4100455092649695,2.946362246963108,-0.5363167376983711,-1.5939457548040536,0.21934138102309234,0.43806172408775307,802.1951319481498,814.0849683598518,0.0,-50.73070778172928,17.59812683538238,16.971937029431896,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-06,1528.46,762.6241458785051,,1,800.8902896085785,2.3242024969182706,3.022102263843137,-0.6978997669245928,-1.8572075880365446,0.27599032260057227,0.4033791310203644,801.9298165784304,812.9079993474903,0.0,-50.73070778172928,17.59812683538238,16.974674880219027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,1527.65,708.3008239809203,915.37,1,800.1131116272971,2.2149657668638203,2.9921437481453506,-0.7771779812813975,-2.3307729241994366,0.33801451357166334,0.3645393303364236,801.5968490178303,811.7591940491835,-54.32332189758483,-104.8876767640578,24.51253335236982,16.97741273100616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,1525.17,733.2851788741768,,1,798.734080704803,2.2768798305901523,3.6559107530841,-1.3790309224941666,-3.4313767550866032,0.5170025454940256,0.3987827133049415,801.1066523385323,810.6181691345326,24.984354893256523,-91.51910538882612,27.29338802774847,16.980150581793293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,1522.4,701.7760636189695,,1,797.272373657184,2.5695634427698164,4.031270490388874,-1.4617070476190293,-4.854397118518023,0.5851548316011461,0.4561955851541411,800.4131670358869,809.4919835056029,-31.509115255207348,-120.40531923427704,27.6314771071584,16.982888432580424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,1520.01,736.9389425303425,,1,795.4669153177139,2.6375922190445023,4.4430505585145,-1.8054583394700785,-6.702702846927195,0.6138270420964116,0.5609061002001106,799.4556380577544,808.366852363489,35.162878911373014,-67.92288028354994,33.983920436811324,16.985626283367555,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,1517.5,720.6850085215257,,1,793.469990219123,2.992545586773363,4.989470685364206,-1.9969250985908502,-8.654515894078486,0.5721766322831703,0.6672919360714584,798.2192786443147,807.2359448438522,-16.253934008816827,-41.93913735697947,31.137902632808707,16.98836413415469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-12,1515.5,720.6850085215257,,1,791.3847587965661,3.2274207362753433,5.312652158832332,-2.0852314225569444,-10.20343057893706,0.5555937839771768,0.7562705518114337,796.7616457044666,806.0951564898207,0.0,-41.93913735697947,31.137902632808707,16.99110198494182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-13,1514.76,720.6850085215257,,1,789.2744753379106,3.1570109418099475,5.267294400465427,-2.110283458655431,-11.615814270667897,0.4857793631126166,0.8168930458498909,795.1022436657996,804.9442717307094,0.0,-41.93913735697947,31.137902632808707,16.993839835728952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,1513.56,729.655586960802,903.31,1,786.8554724568324,3.1029301476725997,5.521933028750696,-2.4190028810781996,-13.2576391704647,0.37181526484583644,0.8789555483223181,793.208295212876,803.7714340759405,8.970578439276323,21.354762979881684,22.850913467569345,16.996577686516083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,1511.4,724.8898476585318,,1,784.6306523518123,3.5232432407636396,5.7480633457840025,-2.2248201050201715,-14.103428352990704,0.30865874965750345,0.8905729764278029,791.1935197338775,802.5800465029886,-4.765739302270163,-8.395331215645001,20.762777266323308,16.999315537303218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,1509.05,724.4191182204727,,1,782.4432221755587,3.630151510207041,5.817581686460512,-2.1874301762535424,-14.829151481625217,0.19161904297692128,0.8495058146767913,789.0750695222167,801.3762529595692,-0.470729438059152,22.643054601503195,15.972787119153267,17.00205338809035,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
